uri,name,population,area,elevation,lat,lon,country,region,populationDensity,foundingYear,abstract,country_name,region_name,numTriples,numAttributes,hasAbstract,abstractLen
"http://dbpedia.org/resource/Clifton,_New_Jersey","Clifton, New Jersey",90296,29600000.0,39.9288,40.86213684082031,-74.16039276123047,,,3092.099136687178,,,,,,5,0,0
http://dbpedia.org/resource/Mahmud-i-Raqi,Mahmud-i-Raqi,90250,,1450.0,35.02055740356445,69.33055877685547,http://dbpedia.org/resource/Afghanistan,,,,,Afghanistan,,,4,0,0
http://dbpedia.org/resource/Simanggang,Simanggang,90242,,,1.235277771949768,111.4697189331055,http://dbpedia.org/resource/Malaysia,,,,,Malaysia,,226.0,3,0,0
http://dbpedia.org/resource/Puerto_Padre,Puerto Padre,90218,1178000000.0,25.0,21.19499969482422,-76.60166931152344,http://dbpedia.org/resource/Cuba,,,,,Cuba,,,5,0,0
http://dbpedia.org/resource/Pleven,Pleven,90209,85000000.0,116.0,43.40777587890625,24.62027740478516,http://dbpedia.org/resource/Bulgaria,,,,,Bulgaria,,,5,0,0
http://dbpedia.org/resource/Abomey,Abomey,90195,142000000.0,221.0,7.185555458068848,1.98805558681488,http://dbpedia.org/resource/Benin,,,,,Benin,,,5,0,0
http://dbpedia.org/resource/Necochea,Necochea,90000,,16.0,-38.53333282470703,-58.75,http://dbpedia.org/resource/Argentina,,,,,Argentina,,,4,0,0
http://dbpedia.org/resource/La_Grita,La Grita,90000,,1440.0,8.133333206176758,-71.98332977294922,http://dbpedia.org/resource/Venezuela,,,,,Venezuela,,,4,0,0
http://dbpedia.org/resource/Léogâne,Léogâne,90000,,,18.51083374023438,-72.6338882446289,http://dbpedia.org/resource/Haiti,,,,,Haiti,,,3,0,0
http://dbpedia.org/resource/Sheikh_Zayed_City,Sheikh Zayed City,90000,49000000.0,,30.04999923706055,31.0,http://dbpedia.org/resource/Egypt,,,,,Egypt,,,4,0,0
"http://dbpedia.org/resource/Bloomington,_Minnesota","Bloomington, Minnesota",89987,99442593.49635072,252.0,44.84079742431641,-93.29827880859376,http://dbpedia.org/resource/United_States,,972.49,,,United_States,,,6,0,0
http://dbpedia.org/resource/Presidencia_Roque_Sáenz_Peña,Presidencia Roque Sáenz Peña,89882,,,-26.78333282470703,-60.45000076293945,http://dbpedia.org/resource/Argentina,,,,,Argentina,,,3,0,0
http://dbpedia.org/resource/Mogok,Mogok,89855,32323051.61699328,,22.91666603088379,96.5,http://dbpedia.org/resource/Myanmar,,,,,Myanmar,,,4,0,0
http://dbpedia.org/resource/Ciudad_Ayala,Ciudad Ayala,89834,,1147.0,18.76638793945312,-98.98472595214844,http://dbpedia.org/resource/Mexico,,,,,Mexico,,219.0,4,0,0
"http://dbpedia.org/resource/Hemet,_California","Hemet, California",89833,75834851.87063809,486.0,33.74750137329102,-116.9719467163086,,,1184.51,,,,,,5,0,0
"http://dbpedia.org/resource/Guaynabo,_Puerto_Rico","Guaynabo, Puerto Rico",89780,70200000.0,,18.36666679382324,-66.0999984741211,http://dbpedia.org/resource/United_States,,,,,United_States,,445.0,4,0,0
"http://dbpedia.org/resource/Kōka,_Shiga","Kōka, Shiga",89619,481620000.0,,34.96666717529297,136.1666717529297,,,,,,,,379.0,3,0,0
"http://dbpedia.org/resource/Maitland,_New_South_Wales","Maitland, New South Wales",89597,,,-32.71666717529297,151.5500030517578,http://dbpedia.org/resource/Australia,,,,,Australia,,542.0,3,0,0
http://dbpedia.org/resource/Gyzylarbat,Gyzylarbat,89582,,,38.98333358764648,56.28333282470703,http://dbpedia.org/resource/Turkmenistan,,,,,Turkmenistan,,,3,0,0
"http://dbpedia.org/resource/Cerrillos,_Chile","Cerrillos, Chile",89520,21000000.0,517.0,-33.5,-70.71666717529297,http://dbpedia.org/resource/Chile,,4262.0,,,Chile,,201.0,6,0,0
http://dbpedia.org/resource/Ballarpur,Ballarpur,89452,18500000.0,,19.83333396911621,79.3499984741211,http://dbpedia.org/resource/India,,,,,India,,,4,0,0
http://dbpedia.org/resource/Kadiri,Kadiri,89429,25880000.0,504.0,14.11999988555908,78.16999816894531,http://dbpedia.org/resource/India,,3500.0,,,India,,,6,0,0
http://dbpedia.org/resource/Jaworzno,Jaworzno,89350,153000000.0,,50.20444488525391,19.27000045776367,http://dbpedia.org/resource/Poland,,,,,Poland,,349.0,4,0,0
http://dbpedia.org/resource/Lucca,Lucca,89346,185500000.0,19.0,43.84166717529297,10.50277805328369,http://dbpedia.org/resource/Italy,http://dbpedia.org/resource/Tuscany,,,,Italy,Tuscany,652.0,6,0,0
"http://dbpedia.org/resource/Avondale,_Arizona","Avondale, Arizona",89334,123982730.8417843,296.8752,33.43361282348633,-112.349723815918,,,724.38,,,,,,5,0,0
"http://dbpedia.org/resource/Waukegan,_Illinois","Waukegan, Illinois",89321,63377009.05992192,217.932,42.37027740478516,-87.87110900878906,,,1424.083757481616,,,,,,5,0,0
http://dbpedia.org/resource/Shrirampur,Shrirampur,89282,10000000.0,541.0,19.61954879760742,74.66033935546875,http://dbpedia.org/resource/India,,,,,India,,154.0,5,0,0
http://dbpedia.org/resource/Aligudarz,Aligudarz,89268,,,33.40250015258789,49.69027709960938,http://dbpedia.org/resource/Iran,,,,,Iran,,,3,0,0
http://dbpedia.org/resource/Ségbana,Ségbana,89268,4471000000.0,258.0,10.92777824401855,3.694444417953491,http://dbpedia.org/resource/Benin,,,,,Benin,,,5,0,0
"http://dbpedia.org/resource/Lawrence,_Massachusetts","Lawrence, Massachusetts",89143,19240000.0,4.8768,42.70694351196289,-71.16361236572266,,,4966.73,,,,,685.0,5,0,0
"http://dbpedia.org/resource/Fort_Smith,_Arkansas","Fort Smith, Arkansas",89142,176714888.7682253,141.1224,35.37972259521484,-94.38194274902344,,,537.8287237848708,,,,,822.0,5,0,0
"http://dbpedia.org/resource/Indio,_California","Indio, California",89137,86065304.90646528,-3.9624,33.72055435180664,-116.2155532836914,,,,,,,,,4,0,0
http://dbpedia.org/resource/Kousséri,Kousséri,89123,,271.0,12.07833290100098,15.03083324432373,http://dbpedia.org/resource/Cameroon,,,,,Cameroon,,144.0,4,0,0
http://dbpedia.org/resource/Biaora,Biaora,89093,,415.0,23.91939926147461,76.90989685058594,http://dbpedia.org/resource/India,,300.0,,,India,,,5,0,0
http://dbpedia.org/resource/Kuhdasht,Kuhdasht,89091,,,33.52944564819336,47.60916519165039,http://dbpedia.org/resource/Iran,,,,,Iran,,,3,0,0
"http://dbpedia.org/resource/Parque_San_Martín,_Buenos_Aires","Parque San Martín, Buenos Aires",89073,,16.0,-34.68333435058594,-58.72916793823242,http://dbpedia.org/resource/Argentina,,,,,Argentina,,,4,0,0
"http://dbpedia.org/resource/Seki,_Gifu","Seki, Gifu",89020,472330000.0,,35.49577713012695,136.91796875,http://dbpedia.org/resource/Japan,,,,,Japan,,,4,0,0
http://dbpedia.org/resource/Kairana,Kairana,89000,,242.0,,,http://dbpedia.org/resource/India,,,,,India,,,2,0,0
http://dbpedia.org/resource/Santiago_de_Veraguas,Santiago de Veraguas,88997,975000000.0,101.0,8.105833053588867,-80.97110748291016,http://dbpedia.org/resource/Panama,,,,,Panama,,298.0,5,0,0
